number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5728987993138936,2026-05-10 20:32:58.336731,2026-05-10 20:32:58.910646,0 days 00:00:00.573915,0.8829199664335662,0.8493337930307893,0.05320643116842154,12,6,992,6.107190994028552,9.495909553409323,0.8436242756344817,COMPLETE
1,0.5562130177514792,2026-05-10 20:32:58.910646,2026-05-10 20:32:59.368599,0 days 00:00:00.457953,0.7775594284875434,0.610071957082623,0.07816195139647511,12,8,448,4.887122371610246,1.0320615054993487,0.7459197466880187,COMPLETE
2,0.5924713584288053,2026-05-10 20:32:59.368599,2026-05-10 20:33:01.025790,0 days 00:00:01.657191,0.9681655316695443,2.3960650446198044,0.005330455325500357,7,8,527,5.366780746774571,6.219491640206954,0.937461318166789,COMPLETE
3,0.5632183908045977,2026-05-10 20:33:01.026786,2026-05-10 20:33:02.005483,0 days 00:00:00.978697,0.7266985865138155,0.8054296078592399,0.06422486669852343,7,3,932,1.0885458518651825,5.761696415979632,0.8391492413723005,COMPLETE
4,0.589171974522293,2026-05-10 20:33:02.005483,2026-05-10 20:33:02.971716,0 days 00:00:00.966233,0.750645799388013,2.369433223367823,0.008780389895526835,9,2,1164,5.693005522518652,1.8133955431491822,0.7757502265284892,COMPLETE
5,0.5800711743772242,2026-05-10 20:33:02.971716,2026-05-10 20:33:03.265747,0 days 00:00:00.294031,0.7941818853243248,4.303127455152377,0.019938803171775942,9,8,439,8.663399653314336,3.9718874672667637,0.8546390047559149,COMPLETE
6,0.5888,2026-05-10 20:33:03.265747,2026-05-10 20:33:03.644163,0 days 00:00:00.378416,0.7641258336140475,3.540189513883703,0.012288277033752102,6,4,606,2.9839420363305926,8.891211043917796,0.9736196733433824,COMPLETE
7,0.5884244372990354,2026-05-10 20:33:03.644163,2026-05-10 20:33:03.956123,0 days 00:00:00.311960,0.9418196488665038,1.6093234720816119,0.023075700884640633,9,6,434,9.221040830784677,2.811355305086657,0.9331545446049739,COMPLETE
8,0.5911330049261084,2026-05-10 20:33:03.956123,2026-05-10 20:33:04.396187,0 days 00:00:00.440064,0.7376636112021832,2.598934848532219,0.00681411590479194,4,7,737,7.4524487011166105,8.747407854145951,0.933159701187018,COMPLETE
9,0.5776293823038398,2026-05-10 20:33:04.396187,2026-05-10 20:33:05.179433,0 days 00:00:00.783246,0.768173911686926,0.19754435562874206,0.019445450284137616,7,6,717,9.67351438998135,4.59608037626948,0.8305237306284974,COMPLETE
10,0.5772058823529411,2026-05-10 20:33:05.179433,2026-05-10 20:33:05.809850,0 days 00:00:00.630417,0.9951534973742261,4.951963842792614,0.005747913643044835,4,10,1485,3.415519421730954,6.719625830875955,0.9997923977234935,COMPLETE
11,0.5878378378378378,2026-05-10 20:33:05.809850,2026-05-10 20:33:06.264432,0 days 00:00:00.454582,0.851757690477803,2.867538069153714,0.005369272004673674,4,9,667,7.347007823961668,7.609793548987376,0.9172838217378018,COMPLETE
