number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.509142859321645,2026-05-11 02:42:12.772387,2026-05-11 02:42:15.236781,0 days 00:00:02.464394,0.5889986300840507,2.6039025411012306,0.03621056763954017,2,38,105,4.697003346018393,45.31616510212273,1.247825402228616,0.5890046601106091,COMPLETE
1,0.5133738261899156,2026-05-11 02:42:15.237780,2026-05-11 02:42:17.522435,0 days 00:00:02.284655,0.5958511274633584,2.0118075652474054,0.040865594623548177,2,26,62,7.650906915514453,33.36647510712832,1.1019301990693147,0.5954562418017753,COMPLETE
2,0.4661246090720706,2026-05-11 02:42:17.523443,2026-05-11 02:42:19.853178,0 days 00:00:02.329735,0.7462939903482535,2.5734509910171486,0.021322959710738644,1,31,134,6.396085385900317,32.9982053444764,1.0162576444519993,0.6640174960542591,COMPLETE
3,0.46837713107123974,2026-05-11 02:42:19.855178,2026-05-11 02:42:21.908811,0 days 00:00:02.053633,0.7520993370291154,2.894815592792549,0.016222035757973607,1,49,133,7.655365230080449,18.418523990223434,1.1540533728088604,0.7914080082686399,COMPLETE
4,0.4309857147769109,2026-05-11 02:42:21.910318,2026-05-11 02:42:24.161396,0 days 00:00:02.251078,0.7156305710884956,2.4134859777014785,0.015634078412645306,1,48,74,7.740532913072931,33.20238074122338,1.0646990594339345,0.6146949954000043,COMPLETE
5,0.5286973803757106,2026-05-11 02:42:24.163395,2026-05-11 02:42:26.387140,0 days 00:00:02.223745,0.7804685587557793,0.6582955111868832,0.046487403175345776,2,47,177,5.0619100246230335,21.859400184670083,1.1138656157671425,0.6994749947027713,COMPLETE
6,0.46069980424131085,2026-05-11 02:42:26.390655,2026-05-11 02:42:28.322001,0 days 00:00:01.931346,0.6856740207895622,0.7609272528791979,0.04068370419920864,1,31,107,5.691090699697152,43.07689432639139,1.3454104278101813,0.6202336274218452,COMPLETE
7,0.4431844984056221,2026-05-11 02:42:28.325015,2026-05-11 02:42:30.058795,0 days 00:00:01.733780,0.7322517920102469,1.754630049904954,0.015100059435535782,1,45,153,13.25524416023135,17.591562810693162,1.0405541708337953,0.7267143359619044,COMPLETE
8,0.4142872866845592,2026-05-11 02:42:30.060300,2026-05-11 02:42:31.580763,0 days 00:00:01.520463,0.6312958305066868,3.605244599017143,0.022341421548114658,2,21,164,12.75527414005677,37.31451149743246,1.1652752238066824,0.6277455804289156,COMPLETE
9,0.5232156332956535,2026-05-11 02:42:31.581772,2026-05-11 02:42:33.469302,0 days 00:00:01.887530,0.6734488990910977,0.5889669436043332,0.03748776861762909,2,37,74,10.272793952583928,29.963935642549238,1.0377619994476566,0.7427417949886403,COMPLETE
